Zeit,Extinktion,Zugabe
0,"0,025",Z1
15,"0,026",Z1
30,"0,025",Z1
45,"0,024",Z1
60,"0,025",Z1
75,"0,024",Z1
90,"0,024",Z1
105,"0,025",Z1
120,"0,025",Z1
135,"0,024",Z1
150,"0,025",Z1
165,"0,026",Z1
180,"0,025",Z1
195,"0,025",Z1
210,"0,024",Z1
225,"0,025",Z1
240,"0,024",Z1
255,"0,025",Z1
270,"0,024",Z1
285,"0,025",Z1
300,"0,024",Z1
315,"0,025",Z1
330,"0,026",Z1
345,"0,025",Z1
360,"0,025",Z1
375,"0,024",Z1
390,"0,025",Z1
405,"0,025",Z1
420,"0,024",Z1
435,"0,025",Z1
450,"0,024",Z1
465,"0,025",Z1
480,"0,025",Z1
495,"0,024",Z1
510,"0,025",Z1
525,"0,025",Z1
540,"0,024",Z1
555,"0,025",Z1
570,"0,025",Z1
585,"0,025",Z1
600,"0,025",Z2
615,"0,085",Z2
630,"0,115",Z2
645,"0,130",Z2
660,"0,140",Z2
675,"0,147",Z2
690,"0,152",Z2
705,"0,155",Z2
720,"0,158",Z2
735,"0,160",Z2
750,"0,161",Z2
765,"0,162",Z2
780,"0,163",Z2
795,"0,164",Z2
810,"0,164",Z2
825,"0,165",Z2
840,"0,165",Z2
855,"0,166",Z2
870,"0,166",Z2
885,"0,167",Z2
900,"0,167",Z2
915,"0,168",Z2
930,"0,168",Z2
945,"0,168",Z2
960,"0,169",Z2
975,"0,169",Z2
990,"0,169",Z2
1005,"0,170",Z2
1020,"0,170",Z2
1035,"0,171",Z2
1050,"0,171",Z2
1065,"0,171",Z2
1080,"0,172",Z2
1095,"0,172",Z2
1110,"0,173",Z2
1125,"0,173",Z2
1140,"0,174",Z2
1155,"0,174",Z2
1170,"0,175",Z2
1185,"0,175",Z2
1200,"0,175",Z3
1215,"0,225",Z3
1230,"0,265",Z3
1245,"0,290",Z3
1260,"0,305",Z3
1275,"0,315",Z3
1290,"0,323",Z3
1305,"0,330",Z3
1320,"0,335",Z3
1335,"0,340",Z3
1350,"0,344",Z3
1365,"0,348",Z3
1380,"0,351",Z3
1395,"0,354",Z3
1410,"0,356",Z3
1425,"0,358",Z3
1440,"0,360",Z3
1455,"0,362",Z3
1470,"0,364",Z3
1485,"0,365",Z3
1500,"0,366",Z3
1515,"0,367",Z3
1530,"0,368",Z3
1545,"0,369",Z3
1560,"0,370",Z3
1575,"0,371",Z3
1590,"0,372",Z3
1605,"0,373",Z3
1620,"0,374",Z3
1635,"0,375",Z3
1650,"0,375",Z3
1665,"0,376",Z3
1680,"0,376",Z3
1695,"0,377",Z3
1710,"0,377",Z3
1725,"0,378",Z3
1740,"0,378",Z3
1755,"0,379",Z3
1770,"0,379",Z3
1785,"0,379",Z3
1800,"0,379",Z4
1815,"0,440",Z4
1830,"0,480",Z4
1845,"0,510",Z4
1860,"0,530",Z4
1875,"0,545",Z4
1890,"0,555",Z4
1905,"0,563",Z4
1920,"0,570",Z4
1935,"0,576",Z4
1950,"0,581",Z4
1965,"0,585",Z4
1980,"0,588",Z4
1995,"0,591",Z4
2010,"0,593",Z4
2025,"0,595",Z4
2040,"0,597",Z4
2055,"0,598",Z4
2070,"0,599",Z4
2085,"0,600",Z4
2100,"0,601",Z4
2115,"0,602",Z4
2130,"0,602",Z4
2145,"0,603",Z4
2160,"0,603",Z4
2175,"0,604",Z4
2190,"0,604",Z4
2205,"0,605",Z4
2220,"0,605",Z4
2235,"0,605",Z4
2250,"0,606",Z4
2265,"0,606",Z4
2280,"0,606",Z4
2295,"0,606",Z4
2310,"0,606",Z4
2325,"0,606",Z4
2340,"0,606",Z4
2355,"0,606",Z4
2370,"0,606",Z4
2385,"0,606",Z4
2400,"0,606",Z5
2415,"0,595",Z5
2430,"0,586",Z5
2445,"0,578",Z5
2460,"0,572",Z5
2475,"0,567",Z5
2490,"0,563",Z5
2505,"0,560",Z5
2520,"0,557",Z5
2535,"0,555",Z5
2550,"0,554",Z5
2565,"0,553",Z5
2580,"0,552",Z5
2595,"0,551",Z5
2610,"0,551",Z5
2625,"0,550",Z5
2640,"0,550",Z5
2655,"0,550",Z5
2670,"0,550",Z5
2685,"0,550",Z5
2700,"0,550",Z5
2715,"0,550",Z5
2730,"0,550",Z5
2745,"0,550",Z5
2760,"0,550",Z5
2775,"0,550",Z5
2790,"0,550",Z5
2805,"0,550",Z5
2820,"0,550",Z5
2835,"0,550",Z5
2850,"0,550",Z5
2865,"0,550",Z5
2880,"0,550",Z5
2895,"0,550",Z5
2910,"0,550",Z5
2925,"0,550",Z5
2940,"0,550",Z5
2955,"0,550",Z5
2970,"0,550",Z5
2985,"0,550",Z5
3000,"0,550",Z6
3010,"1,250",Z6
3020,"1,380",Z6
3030,"1,405",Z7
3060,"1,405",Z7
3090,"1,404",Z7
3120,"1,405",Z7
3150,"1,405",Z7
3180,"1,406",Z7
3210,"1,405",Z7
3225,"1,405",Z8
3240,"1,580",Z8
3255,"1,610",Z8
3270,"1,625",Z8
3285,"1,635",Z8
3300,"1,640",Z8
3315,"1,642",Z8
3330,"1,645",Z8
3345,"1,646",Z8
3360,"1,647",Z8
3375,"1,647",Z8
3390,"1,647",Z8