Zeit,Extinktion,Zugabe
0,"0,000",z0
15,"0,095",z0
30,"0,121",z0
45,"0,145",z0
60,"0,158",z0
75,"0,173",z0
90,"0,189",z0
105,"0,200",z0
120,"0,209",z0
135,"0,217",z0
150,"0,225",z0
165,"0,233",z0
180,"0,240",z0
195,"0,245",z0
210,"0,251",z0
225,"0,256",z0
240,"0,261",z0
255,"0,266",z0
270,"0,270",z0
285,"0,274",z0
300,"0,277",z0
315,"0,281",z0
330,"0,284",z0
345,"0,287",z0
360,"0,290",z0
375,"0,292",z0
390,"0,295",z0
405,"0,297",z0
420,"0,300",z0
480,"0,307",z0
540,"0,314",z0
600,"0,320",z0
660,"0,326",z0
720,"0,330",z0
780,"0,334",z0
840,"0,350",z1
870,"0,381",z1
900,"0,406",z1
930,"0,426",z1
960,"0,443",z1
990,"0,457",z1
1020,"0,468",z1
1050,"0,479",z1
1080,"0,487",z1
1110,"0,495",z1
1140,"0,502",z1
1170,"0,507",z1
1200,"0,512",z1
1230,"0,517",z1
1260,"0,521",z1
1290,"0,526",z1
1320,"0,529",z1
1350,"0,532",z1
1410,"0,535",z1
1470,"0,541",z1
1530,"0,546",z1
1590,"0,551",z1
1650,"0,555",z1
1710,"0,557",z1
1770,"0,559",z1
1830,"0,561",z1
1890,"0,564",z1
1950,"0,566",z1
2010,"0,568",z1
2070,"0,570",z1
2130,"0,572",z1